Inj.	Injection Name	Type 	Ret.Time	Amount	Rel.Area 	Area	Height
No.	Selected Peak:		min	µg/mL	%	µS*min	µS
			CD	CD	CD	CD	CD
			IC-SO4	IC-SO4	IC-SO4	IC-SO4	IC-SO4
1	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
2	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
3	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
4	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
5	Standard 1	Calibration Standard	6.833 	0.4308 	6.17 	0.6563 	3.29 
6	Standard 2	Calibration Standard	6.857 	0.9545 	6.61 	1.4542 	7.04 
7	Standard 3	Calibration Standard	6.947 	1.9865 	6.86 	3.0266 	14.25 
8	Standard 4	Calibration Standard	6.860 	10.0561 	7.01 	15.3214 	66.66 
9	Standard 5	Calibration Standard	6.797 	19.9773 	7.01 	30.4373 	121.96 
10	Lab Blank	Unknown	6.907 	0.0079 	8.11 	0.0120 	0.04 
11	Lab Blank	Unknown	6.903 	0.0300 	33.47 	0.0457 	0.04 
12	1_FTS_GW6_0815_20230807	Unknown	6.887 	882.3016 	8.59 	13.4427 	59.05 
13	2_FTS_GW5_0850_20230807	Unknown	6.840 	875.5142 	8.43 	13.3393 	58.87 
14	3_FTS_GW4_0920_20230807	Unknown	6.910 	668.4489 	7.19 	10.1844 	45.64 
15	4_FTS_GW3_0945_20230807	Unknown	6.873 	871.4001 	8.60 	13.2766 	58.35 
16	5_FTS_GW2_1030_20230807	Unknown	6.920 	590.1277 	7.85 	8.9911 	40.43 
17	6_FTS_GW1_1110_20230807	Unknown	6.890 	536.1661 	6.19 	8.1690 	37.17 
18	7_FTS_0530_20230808	Unknown	6.913 	530.1684 	8.12 	8.0776 	36.57 
19	8_FTS_0630_20230808	Unknown	6.940 	541.5009 	8.16 	8.2503 	37.23 
